date,day,focus,planned_minutes,actual_minutes,problems_or_mock,score,full_ac,time_to_first_ac,error_codes,root_cause,retry_d1_done,retry_d7_done,notes
2026-07-30,D1,Language lock + Official Mock 1,150,,,,,,,,,,
2026-07-31,D2,Mock 1 forensic review,150,,,,,,,,,,
2026-08-01,D3,Implementation string simulation,150,,,,,,,,,,
2026-08-02,D4,Hash set counting,150,,,,,,,,,,
2026-08-03,D5,Sort comparator,150,,,,,,,,,,
2026-08-04,D6,Stack queue deque,150,,,,,,,,,,
2026-08-05,D7,Queue event simulation + gate,150,,,,,,,,,,
2026-08-06,D8,Heap priority queue,150,,,,,,,,,,
2026-08-07,D9,Greedy + sort,150,,,,,,,,,,
2026-08-08,D10,Brute force backtracking,150,,,,,,,,,,
2026-08-09,D11,Sliding window two pointers,150,,,,,,,,,,
2026-08-10,D12,Binary search on answer,150,,,,,,,,,,
2026-08-11,D13,Complexity constraint drill,150,,,,,,,,,,
2026-08-12,D14,Official Mock 2,180,,,,,,,,,,
2026-08-13,D15,Mock 2 review,150,,,,,,,,,,
2026-08-14,D16,DFS recursion visited,150,,,,,,,,,,
2026-08-15,D17,BFS grid shortest path,150,,,,,,,,,,
2026-08-16,D18,Connected components,150,,,,,,,,,,
2026-08-17,D19,State BFS,150,,,,,,,,,,
2026-08-18,D20,Backtracking grid,150,,,,,,,,,,
2026-08-19,D21,DP essentials,150,,,,,,,,,,
2026-08-20,D22,Graph tree essentials,150,,,,,,,,,,
2026-08-21,D23,Mock 1 mastery retest,180,,,,,,,,,,
2026-08-22,D24,Weakest-3 repair,150,,,,,,,,,,
2026-08-23,D25,Past Set A full mock,180,,,,,,,,,,
2026-08-24,D26,Past Set A review,150,,,,,,,,,,
2026-08-25,D27,Level-2 speed day,150,,,,,,,,,,
2026-08-26,D28,Mixed Q1-Q3 ladder,150,,,,,,,,,,
2026-08-27,D29,Past Set B full mock,180,,,,,,,,,,
2026-08-28,D30,Past Set B review + tech prep,150,,,,,,,,,,
2026-08-29,D31,Fresh mixed mock,180,,,,,,,,,,
2026-08-30,D32,Review only,150,,,,,,,,,,
2026-08-31,D33,Speed + syntax recall,150,,,,,,,,,,
2026-09-01,D34,Final fresh mock,180,,,,,,,,,,
2026-09-02,D35,Final postmortem,150,,,,,,,,,,
2026-09-03,D36,Adaptive rehearsal,120,,,,,,,,,,
2026-09-04,D37,Taper + tech check,60,,,,,,,,,,
2026-09-05,EXAM,D-day,120,,,,,,,,,,
