bank_id,lesson_id,problem_name,level,pattern,priority,role,source_set,legacy_id,link
OF001,42576,Người chưa hoàn thành,Lv.1,Hash-frequency,CORE,first-principle,Programmers Kit,P21,https://school.programmers.co.kr/learn/courses/30/lessons/42576?language=javascript
OF002,1845,Ponketmon,Lv.1,Set-cardinality,TRANSFER,warmup,Programmers Kit,P22,https://school.programmers.co.kr/learn/courses/30/lessons/1845?language=javascript
OF003,42577,Danh bạ điện thoại,Lv.2,Prefix-sort-hash,CORE,representative,Programmers Kit,P23,https://school.programmers.co.kr/learn/courses/30/lessons/42577?language=javascript
OF004,42578,Trang phục,Lv.2,Hash-counting-combinatorics,CORE,representative,Programmers Kit,P24,https://school.programmers.co.kr/learn/courses/30/lessons/42578?language=javascript
OF005,42579,Album hay nhất,Lv.3,Hash-group-sort,TRANSFER,integration,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/42579?language=javascript
OF006,12906,Không thích số giống nhau,Lv.1,Reduction-stack,TRANSFER,warmup,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/12906?language=javascript
OF007,42586,Phát triển tính năng,Lv.2,Queue-batch,CORE,representative,Programmers Kit,P26,https://school.programmers.co.kr/learn/courses/30/lessons/42586?language=javascript
OF008,12909,Dấu ngoặc đúng,Lv.2,Matching-stack,CORE,template,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/12909?language=javascript
OF009,42587,Tiến trình,Lv.2,Queue-reenqueue,CORE,representative,Programmers Kit,P27,https://school.programmers.co.kr/learn/courses/30/lessons/42587?language=javascript
OF010,42583,Xe tải qua cầu,Lv.2,Queue-time-capacity,CORE,integration,Programmers Kit,P35,https://school.programmers.co.kr/learn/courses/30/lessons/42583?language=javascript
OF011,42584,Giá cổ phiếu,Lv.2,Monotonic-stack,CORE,representative,Programmers Kit,P36,https://school.programmers.co.kr/learn/courses/30/lessons/42584?language=javascript
OF012,42626,Cay hơn,Lv.2,Min-heap,CORE,template,Programmers Kit,P28,https://school.programmers.co.kr/learn/courses/30/lessons/42626?language=javascript
OF013,42627,Bộ điều khiển đĩa,Lv.3,Heap-event-simulation,CORE,integration,Programmers Kit,P45,https://school.programmers.co.kr/learn/courses/30/lessons/42627?language=javascript
OF014,42628,Hai hàng đợi ưu tiên,Lv.3,Double-priority-queue,TRANSFER,variant,Programmers Kit,,https://school.programmers.co.kr/learn/courses/30/lessons/42628?language=javascript
OF015,42748,Số thứ K,Lv.1,Sort-slice-index,CORE,warmup,Programmers Kit,P25,https://school.programmers.co.kr/learn/courses/30/lessons/42748?language=javascript
OF016,42746,Số lớn nhất,Lv.2,Custom-comparator,CORE,representative,Programmers Kit,P34,https://school.programmers.co.kr/learn/courses/30/lessons/42746?language=javascript
