id,group,source_type,problem_name_ko,problem_name_vi,link,level_official,primary_pattern,secondary_pattern,priority,think_limit_minutes,hint_rule,redo_rule,hidden_test_risks,planned_first_attempt,status,actual_minutes,hint_level,first_result,review_1,review_3,review_7,recode_done,confidence,notes
P01,A,PCCP 기출,붕대 감기,Băng bó,https://school.programmers.co.kr/learn/courses/30/lessons/250137?language=javascript,Lv.1,Simulation theo sự kiện,Số học khoảng trống,Bắt buộc,30,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 bắt buộc,"Giây bị đánh không hồi máu; gap = attackTime - previousTime - 1; bonus; cap health; chết <= 0",2026-08-03,Chưa làm,,,,2026-08-04,2026-08-06,2026-08-10,,,
P02,A,PCCP 기출,석유 시추,Khai thác dầu,https://school.programmers.co.kr/learn/courses/30/lessons/250136?language=javascript,Lv.2,BFS/DFS component,Tổng theo cột,Bắt buộc,50,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 bắt buộc,"Mỗi khối chỉ cộng một lần mỗi cột; grid chữ nhật; tránh recursive DFS sâu; phải O(R*C)",2026-08-17,Chưa làm,,,,2026-08-18,2026-08-20,2026-08-24,,,
P03,B,PCCP 기출,아날로그 시계,Đồng hồ analog,https://school.programmers.co.kr/learn/courses/30/lessons/250135?language=javascript,Lv.2,Math/event counting,Simulation góc,Nên làm,60,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 nếu có hint/WA; D+7 bắt buộc,"Hai đầu inclusive; 00:00 và 12:00 ba kim trùng chỉ tính một; wrap; sai số float",2026-08-24,Chưa làm,,,,2026-08-25,2026-08-27,2026-08-31,,,
P04,C,PCCP 기출,수레 움직이기,Di chuyển xe kéo,https://school.programmers.co.kr/learn/courses/30/lessons/250134?language=javascript,Lv.3,DFS/backtracking state,Simulation đồng thời,Còn thời gian,60,Sau 60 phút ghi state/invariant rồi xem hint; không cố quá 75 phút,Đóng lời giải và code lại ngay; D+3; D+7 nếu còn phạm vi,"Visited riêng mỗi xe; xe đích đứng yên; cấm cùng ô/đổi chỗ; restore state; vô nghiệm 0",2026-08-20,Chưa làm,,,,2026-08-21,2026-08-23,2026-08-27,,,
P05,A,PCCP 기출,동영상 재생기,Trình phát video,https://school.programmers.co.kr/learn/courses/30/lessons/340213?language=javascript,Lv.1,Parse thời gian,Simulation,Bắt buộc,30,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 bắt buộc,"Skip opening lúc đầu và sau từng lệnh; đoạn inclusive; clamp; zero-pad mm:ss",2026-08-04,Chưa làm,,,,2026-08-05,2026-08-07,2026-08-11,,,
P06,A,PCCP 기출,퍼즐 게임 챌린지,Thử thách game xếp hình,https://school.programmers.co.kr/learn/courses/30/lessons/340212?language=javascript,Lv.2,Binary search on answer,Predicate đơn điệu,Bắt buộc,45,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 bắt buộc,"Lower bound; times[i-1]; cutoff khi quá limit; không dùng bitwise midpoint",2026-08-12,Chưa làm,,,,2026-08-13,2026-08-15,2026-08-19,,,
P07,A,PCCP 기출,충돌위험 찾기,Tìm nguy cơ va chạm,https://school.programmers.co.kr/learn/courses/30/lessons/340211?language=javascript,Lv.2,Simulation theo thời gian,Map frequency,Bắt buộc,55,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 và D+3; D+7 bắt buộc,"Đi trục r trước c; route 1-based; tính t=0/vị trí cuối; >=2 robot chỉ một nguy cơ mỗi ô-thời điểm",2026-08-25,Chưa làm,,,,2026-08-26,2026-08-28,2026-09-01,,,
P08,B,PCCP 기출,수식 복원하기,Khôi phục biểu thức,https://school.programmers.co.kr/learn/courses/30/lessons/340210?language=javascript,Lv.3,Brute force cơ số,Parse/chuyển cơ số,Nên làm,60,Ghi bottleneck và complexity rồi xem 1 hint; thêm 15 phút mới xem lời giải,D+1 nếu có hint/WA; D+7 bắt buộc,"Base > mọi digit; lọc bằng biểu thức đã biết; mọi base phải đồng thuận; xử lý 0 và phép trừ",2026-08-28,Chưa làm,,,,2026-08-29,2026-08-31,2026-09-04,,,
P09,A,PCCP Mock 1,외톨이 알파벳,Chữ cái cô lập,https://school.programmers.co.kr/learn/courses/15008/lessons/121683,N/A (mock không công bố Level),Scan string,Set,Bắt buộc,25,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 bắt buộc,"Nhiều block liên tiếp chứ không chỉ frequency; sort alphabet; không có trả N",2026-08-29,Chưa làm,,,,2026-08-30,2026-09-01,2026-09-05,,,
P10,A,PCCP Mock 1,체육대회,Đại hội thể thao,https://school.programmers.co.kr/learn/courses/15008/lessons/121684,N/A (mock không công bố Level),Backtracking/permutation,Gán người-vào-môn,Bắt buộc,40,Không hint trong 120 phút mock; sau giờ ghi bottleneck mới xem hint,D+1 và D+3; D+7 bắt buộc,"Mỗi học sinh tối đa một môn; reset visited; không greedy từng cột; matrix chữ nhật",2026-08-29,Chưa làm,,,,2026-08-30,2026-09-01,2026-09-05,,,
