session,planned_date,slot,problem_id,start_minute,first_submit_minute,last_submit_minute,submit_count,expected_complexity,confidence_before_result,visible_sample_status,final_score_or_partial,root_cause,revealing_test,prevention_rule,recode_minutes,recode_result,completed_at,notes
Official Mock 1,2026-09-01,Q1,,,,,,,,,,,,,,,,
Official Mock 1,2026-09-01,Q2,,,,,,,,,,,,,,,,
Official Mock 1,2026-09-01,Q3,,,,,,,,,,,,,,,,
Official Mock 1,2026-09-01,Q4,,,,,,,,,,,,,,,,
Official Mock 2,2026-09-03,Q1,,,,,,,,,,,,,,,,
Official Mock 2,2026-09-03,Q2,,,,,,,,,,,,,,,,
Official Mock 2,2026-09-03,Q3,,,,,,,,,,,,,,,,
Official Mock 2,2026-09-03,Q4,,,,,,,,,,,,,,,,
Public Past Set A,2026-09-05,Q1,,,,,,,,,,,,,,,,
Public Past Set A,2026-09-05,Q2,,,,,,,,,,,,,,,,
Public Past Set A,2026-09-05,Q3,,,,,,,,,,,,,,,,
Public Past Set A,2026-09-05,Q4,,,,,,,,,,,,,,,,
Public Past Set B,2026-09-07,Q1,,,,,,,,,,,,,,,,
Public Past Set B,2026-09-07,Q2,,,,,,,,,,,,,,,,
Public Past Set B,2026-09-07,Q3,,,,,,,,,,,,,,,,
Public Past Set B,2026-09-07,Q4,,,,,,,,,,,,,,,,
