coverage_id,chapter,pattern_families,official_anchors,priority
ARR-01,01,PF03,,VERY_HIGH
ARR-02,01,PF02,,VERY_HIGH
ARR-03,01,PF01,,VERY_HIGH
ARR-04,01,PF01,,HIGH
ARR-05,01,PF03,,VERY_HIGH
ARR-06,01,PF03,OF019,HIGH
ARR-07,01,PF03,OF006|SR002,VERY_HIGH
MAT-01,02,PF20,SR001,VERY_HIGH
MAT-02,02,PF20,,MEDIUM
MAT-03,02,PF13|PF20,,VERY_HIGH
MAT-04,02,PF20,,HIGH
MAT-05,02,PF13|PF20,,VERY_HIGH
MAP-01,03,PF01,OF002,VERY_HIGH
MAP-02,03,PF01,,VERY_HIGH
MAP-03,03,PF01,OF001|OF004,VERY_HIGH
MAP-04,03,PF01,,HIGH
MAP-05,03,PF01,,HIGH
MAP-06,03,PF01,,HIGH
MAP-07,03,PF01,,VERY_HIGH
MAP-08,03,PF01,,HIGH
MAP-09,03,PF01,,HIGH
MAP-10,03,PF01,,HIGH
MAP-11,03,PF01,OF005,VERY_HIGH
MAP-12,03,PF01|PF20,OF048,VERY_HIGH
MAP-13,03,PF01|PF21,,VERY_HIGH
MAP-14,03,PF01,OF050,HIGH
SORT-01,05,PF02,OF015,VERY_HIGH
SORT-02,05,PF02,OF016,VERY_HIGH
SORT-03,05,PF02,,HIGH
SORT-04,05,PF02|PF10,OF003|OF017|OF018,VERY_HIGH
SORT-05,05,PF02,,LOW
SIM-01,04,PF05|PF20,,VERY_HIGH
SIM-02,04,PF20,OF049,VERY_HIGH
SIM-03,04,PF20,,HIGH
SIM-04,04,PF05|PF20,,HIGH
SIM-05,04,PF05|PF20,OF010|SR005,VERY_HIGH
PRE-01,07,PF23,,VERY_HIGH
PRE-02,07,PF23,,VERY_HIGH
PRE-03,07,PF23,,HIGH
PRE-04,07,PF23,,MEDIUM
PRE-05,07,PF21|PF23,OF060,HIGH
TP-01,06,PF09|PF21,OF028,VERY_HIGH
TP-02,06,PF03|PF21,,HIGH
TP-03,06,PF03|PF21,,HIGH
TP-04,06,PF02|PF21,,HIGH
TP-05,06,PF09|PF21,,HIGH
TP-06,06,PF09,,LOW
SW-01,07,PF21,OF052,VERY_HIGH
SW-02,07,PF21,,VERY_HIGH
SW-03,07,PF21,OF053|OF058,VERY_HIGH
SW-04,07,PF01|PF21,,VERY_HIGH
SW-05,07,PF21,,HIGH
SW-06,07,PF21|PF23,,VERY_HIGH
SQ-01,08,PF04,OF008|OF051|SR003,VERY_HIGH
SQ-02,08,PF04,OF011|OF027|OF061,HIGH
SQ-03,08,PF05,OF007|OF009|OF054|SR004,VERY_HIGH
SQ-04,08,PF05,,LOW
SQ-05,08,PF05|PF14,,VERY_HIGH
BS-01,09,PF19,,HIGH
BS-02,09,PF19,,VERY_HIGH
BS-03,09,PF19,,HIGH
BS-04,09,PF19,OF043|OF044,VERY_HIGH
BS-05,09,PF19,,VERY_HIGH
BFS-01,10,PF13|PF14,,VERY_HIGH
BFS-02,10,PF13,OF037|OF042,VERY_HIGH
BFS-03,10,PF14,OF038|OF039|OF040|OF045|OF056,VERY_HIGH
BFS-04,10,PF14,,HIGH
BFS-05,10,PF13,,VERY_HIGH
BFS-06,10,PF14,OF055,VERY_HIGH
BFS-07,10,PF13|PF24,OF023,HIGH
HG-01,11,PF06,OF012|OF014,HIGH
HG-02,11,PF06,,HIGH
HG-03,11,PF05|PF06,OF013,HIGH
HG-04,11,PF09|PF10,OF030|OF057,VERY_HIGH
HG-05,11,PF09|PF10,OF025,VERY_HIGH
BTD-01,12,PF07,,HIGH
BTD-02,12,PF07,OF020|OF022,HIGH
BTD-03,12,PF07,OF036,HIGH
BTD-04,12,PF07|PF08,OF021|OF024|OF026,HIGH
BTD-05,12,PF07|PF11,,VERY_HIGH
BTD-06,12,PF11|PF12,OF031|OF032|OF035,VERY_HIGH
BTD-07,12,PF11|PF12,OF033|OF034,HIGH
BTD-08,12,PF07|PF08|PF09|PF11|PF12,,VERY_HIGH
TREE-01,10,PF24,SR006,HIGH
GR-01,13,PF22,OF059,VERY_HIGH
GR-02,13,PF15,OF029,HIGH
GR-03,13,PF17,OF046,HIGH
GR-04,13,PF16,OF041,HIGH
GR-05,13,PF18,OF047,MEDIUM
