planned_date,day,topic,planned_minutes,planned_work,actual_work,actual_minutes,submit_count,hint_level,result,gate_status,confidence_before_result,expected_complexity,completed_at,notes
2026-08-15,D1,Diagnostic và JavaScript foundation,210,OF015 + OF050 + baseline contract/bound,,,,,,,,,,
2026-08-16,D2,Matrix mutation và event order,210,OF049 + OF051,,,,,,,,,,
2026-08-17,D3,Hash Set và String prefix,210,OF001 + OF003 + OF004,,,,,,,,,,
2026-08-18,D4,Sort comparator và two pointers,210,OF016 + OF028,,,,,,,,,,
2026-08-19,D5,Fixed và variable window,210,OF052 + OF053,,,,,,,,,,
2026-08-20,D6,Stack queue và batching,210,OF007 + OF008 + OF009,,,,,,,,,,
2026-08-21,D7,Monotonic stack và greedy deletion,210,OF011 + OF027,,,,,,,,,,
2026-08-22,D8,Simulation parsing và String gate,210,OF010 + OF048 + SR002,,,,,,,,,,
2026-08-23,D9,Min heap và event scheduling,210,OF012 + OF013,,,,,,,,,,
2026-08-24,D10,Brute force và backtracking,210,OF036 + OF022,,,,,,,,,,
2026-08-25,D11,Tree cut và interval greedy,210,OF023 + OF057,,,,,,,,,,
2026-08-26,D12,Binary search BigInt và predicate,210,OF043 + 6 predicate drills,,,,,,,,,,
2026-08-27,D13,BFS grid và multi phase,210,OF038 + OF055,,,,,,,,,,
2026-08-28,D14,Components implicit graph và state,210,OF037 + OF039 + 3 state drills,,,,,,,,,,
2026-08-29,D15,Unweighted và weighted shortest path,210,OF045 + OF059,,,,,,,,,,
2026-08-30,D16,DP state transition và order,210,OF032 + OF033,,,,,,,,,,
2026-08-31,D17,Foundation gate,120,OF054 + OF056 + bài fail lớn nhất,,,,,,,,,,
2026-09-01,D18,Free Official Mock 1,120,Course 15008 curriculum-timed simulation,,,,,,,,,,
2026-09-02,D19,Postmortem Mock 1,210,Recode tối đa 3 lỗi + revealing tests,,,,,,,,,,
2026-09-03,D20,Free Official Mock 2,120,Course 15009 curriculum-timed simulation,,,,,,,,,,
2026-09-04,D21,Postmortem Mock 2,210,Recode tối đa 3 lỗi + chốt cutoff,,,,,,,,,,
2026-09-05,D22,Public Past Set A và pre-test window,150,OF062-OF065 honor-lock + official pre-test nếu đã mở,,,,,,,,,,
2026-09-06,D23,Postmortem Past Set A,210,Recode tối đa 3 lỗi + revealing tests,,,,,,,,,,
2026-09-07,D24,Public Past Set B,120,OF066-OF069 honor-lock,,,,,,,,,,
2026-09-08,D25,Postmortem Past Set B,210,Recode tối đa 3 lỗi + calibration,,,,,,,,,,
2026-09-09,D26,Conversion và root-cause repair,180,Tối đa 3 bài theo error log,,,,,,,,,,
2026-09-10,D27,Confidence set và official tech check,180,OF048 + OF008 + OF038 + pre-test nếu chưa làm,,,,,,,,,,
2026-09-11,D28,Taper,90,OF015 recall + final cheat sheet + error log,,,,,,,,,,
2026-09-12,EXAM,D-day,120,PCCP 4 câu + submit audit,,,,,,,,,,
