id,problem_name,level,link,general_topic,mock_status
P01,Băng bó,Lv.1,https://school.programmers.co.kr/learn/courses/30/lessons/250137?language=javascript,Simulation,non-mock
P02,Khai thác dầu,Lv.2,https://school.programmers.co.kr/learn/courses/30/lessons/250136?language=javascript,Graph traversal,non-mock
P03,Đồng hồ analog,Lv.2,https://school.programmers.co.kr/learn/courses/30/lessons/250135?language=javascript,Math and simulation,non-mock
P04,Di chuyển xe kéo,Lv.3,https://school.programmers.co.kr/learn/courses/30/lessons/250134?language=javascript,Backtracking,non-mock
P05,Trình phát video,Lv.1,https://school.programmers.co.kr/learn/courses/30/lessons/340213?language=javascript,Parsing and simulation,non-mock
P06,Thử thách game xếp hình,Lv.2,https://school.programmers.co.kr/learn/courses/30/lessons/340212?language=javascript,Binary search,non-mock
P07,Tìm nguy cơ va chạm,Lv.2,https://school.programmers.co.kr/learn/courses/30/lessons/340211?language=javascript,Simulation,non-mock
P08,Khôi phục biểu thức,Lv.3,https://school.programmers.co.kr/learn/courses/30/lessons/340210?language=javascript,Brute force and parsing,non-mock
P09,Official Mock 1 - Bài 1,Không công bố,,Locked until mock,mock
P10,Official Mock 1 - Bài 2,Không công bố,,Locked until mock,mock
P11,Official Mock 1 - Bài 3,Không công bố,,Locked until mock,mock
P12,Official Mock 1 - Bài 4,Không công bố,,Locked until mock,mock
P13,Official Mock 2 - Bài 1,Không công bố,,Locked until mock,mock
P14,Official Mock 2 - Bài 2,Không công bố,,Locked until mock,mock
P15,Official Mock 2 - Bài 3,Không công bố,,Locked until mock,mock
P16,Official Mock 2 - Bài 4,Không công bố,,Locked until mock,mock
P17,Hạn lưu trữ dữ liệu cá nhân,Lv.1,https://school.programmers.co.kr/learn/courses/30/lessons/150370?language=javascript,Parsing and Map,non-mock
P18,Dạo công viên,Lv.1,https://school.programmers.co.kr/learn/courses/30/lessons/172928?language=javascript,Matrix simulation,non-mock
