mock_session,problem_slot,problem_id,problem_name,level,link,pattern,state_invariant_or_algorithm,trap,hidden_test_risks,opened_after_mock,actual_notes
Official Mock 1,Q1,P09,Chữ cái cô lập,Không công bố,https://school.programmers.co.kr/learn/courses/15008/lessons/121683,Scan string and Set,Theo dõi block ký tự liên tiếp rồi đánh dấu ký tự xuất hiện ở nhiều block,Nhầm số block với frequency,"Nhiều block rời; sắp xếp kết quả; trường hợp không có",,
Official Mock 1,Q2,P10,Đại hội thể thao,Không công bố,https://school.programmers.co.kr/learn/courses/15008/lessons/121684,Backtracking and permutation,Mỗi môn chọn một học sinh chưa dùng rồi restore visited sau nhánh,Greedy độc lập từng cột,"Mỗi học sinh tối đa một môn; matrix chữ nhật; reset visited",,
Official Mock 1,Q3,P11,Quy luật di truyền,Không công bố,https://school.programmers.co.kr/learn/courses/15008/lessons/121685,Base-4 indexing and recursion,Đi ngược tổ tiên theo vị trí thay vì sinh toàn bộ cây,Lệch 1-based và xử lý sai node thuần,"n=1; RR/rr cố định; input lớn không thể sinh cây",,
Official Mock 1,Q4,P12,Hệ điều hành,Không công bố,https://school.programmers.co.kr/learn/courses/15008/lessons/121686,Event simulation and min-heap,Nạp mọi process đã đến rồi chọn theo priority; heap rỗng thì nhảy thời gian,Không nạp đủ event cùng thời điểm,"Non-preemptive; tie comparator; khoảng idle; cấu trúc kết quả",,
Official Mock 2,Q1,P13,Robot thực hành,Không công bố,https://school.programmers.co.kr/learn/courses/15009/lessons/121687,Simulation with direction vectors,Hướng và tọa độ được cập nhật nhất quán sau từng lệnh,Đảo x/y hoặc modulo âm,"Chuỗi lệnh dài; quay trái từ hướng 0; quy ước tọa độ",,
Official Mock 2,Q2,P14,Đào tạo nhân viên mới,Không công bố,https://school.programmers.co.kr/learn/courses/15009/lessons/121688,Min-heap greedy,Mỗi bước ghép hai giá trị nhỏ nhất rồi đưa tổng trở lại heap,Sort lại toàn bộ hoặc lấy sai hai phần tử,"Dữ liệu nhỏ/rỗng theo contract; tổng lớn; heap size một",,
Official Mock 2,Q3,P15,Mở rộng quán cà phê,Không công bố,https://school.programmers.co.kr/learn/courses/15009/lessons/121689,Event simulation and queue,Thời điểm hoàn tất mới phụ thuộc max của lúc đến và lúc quầy rảnh,Xử lý sai arrival trùng thời điểm exit,"Quầy nhàn; nhiều khách chờ; event cùng thời điểm",,
Official Mock 2,Q4,P16,Bản đồ kho báu,Không công bố,https://school.programmers.co.kr/learn/courses/15009/lessons/121690,BFS with multidimensional state,Visited phải phân biệt vị trí và trạng thái quyền đặc biệt,Đánh đồng hai state tại cùng ô,"Ô đáp sau bước đặc biệt; grid chữ nhật; vô nghiệm; boundary",,
Mixed Mock D29,Q1,M29-1,Chuỗi số và từ tiếng Anh,Lv.1,https://school.programmers.co.kr/learn/courses/30/lessons/81301,Parsing,Scan và thay token theo contract,Thay token thiếu hoặc sai thứ tự,"Chuỗi chỉ số; nhiều token liền nhau; token ở đầu cuối",,
Mixed Mock D29,Q2,M29-2,Cây kỹ năng,Lv.2,https://school.programmers.co.kr/learn/courses/30/lessons/49993,Sequence validation,Chỉ các kỹ năng thuộc chuỗi prerequisite mới làm tiến trình thay đổi,Đếm vị trí mà không bỏ kỹ năng ngoài chuỗi,"Kỹ năng ngoài prerequisite; thiếu prerequisite; chuỗi rỗng theo contract",,
Mixed Mock D29,Q3,M29-3,Lặp biến đổi nhị phân,Lv.2,https://school.programmers.co.kr/learn/courses/30/lessons/70129,String simulation,Mỗi vòng đếm zero rồi đổi độ dài phần còn lại sang nhị phân,Nhầm số zero tích lũy hoặc dừng muộn,"Input ngắn; nhiều zero; dừng đúng tại chuỗi 1",,
Mixed Mock D29,Q4,M29-4,Làm mới thực đơn,Lv.2,https://school.programmers.co.kr/learn/courses/30/lessons/72412,Combination and frequency,Liệt kê combination theo từng độ dài rồi giữ frequency cực đại đủ ngưỡng,Liệt kê permutation hoặc gộp sai độ dài,"Ký tự cần chuẩn hóa; tie nhiều menu; không combination nào đủ ngưỡng",,
