path,disposition,reason
.DS_Store,REMOVE_CANDIDATE,"Stale, trùng hoặc metadata; không dùng để học"
.gitignore,SUPPORT,Cấu hình repository
BASIC copy.js,PERSONAL,Bài làm/sandbox người học; không dùng làm lời giải chuẩn
BASIC.js,PERSONAL,Bài làm/sandbox người học; không dùng làm lời giải chuẩn
CHATGPT_WORK_HANDOFF.md,REDIRECT,Context dạy học cho AI; mọi quyết định lịch đều chuyển về Master Navigator
PCCP_700_MASTER_NAVIGATOR.md,ENTRYPOINT,Entrypoint duy nhất; quyết định thứ tự và thời điểm mở mọi layer
PCCP_Algorithm_Code_Notebook/00_CORE_TEMPLATE_VARIANTS_FRAMEWORK.md,LINKED_LAYER,Notebook 89/89 Coverage ID; lớp luyện sâu chỉ mở qua Navigator
PCCP_Algorithm_Code_Notebook/00_Learning_System.md,LINKED_LAYER,Notebook 89/89 Coverage ID; lớp luyện sâu chỉ mở qua Navigator
PCCP_Algorithm_Code_Notebook/00_MASTERY_STANDARD.md,LINKED_LAYER,Notebook 89/89 Coverage ID; lớp luyện sâu chỉ mở qua Navigator
PCCP_Algorithm_Code_Notebook/01_Array_String_Loop.md,LINKED_LAYER,Notebook 89/89 Coverage ID; lớp luyện sâu chỉ mở qua Navigator
PCCP_Algorithm_Code_Notebook/02_Matrix.md,LINKED_LAYER,Notebook 89/89 Coverage ID; lớp luyện sâu chỉ mở qua Navigator
PCCP_Algorithm_Code_Notebook/03_Map_Set.md,LINKED_LAYER,Notebook 89/89 Coverage ID; lớp luyện sâu chỉ mở qua Navigator
PCCP_Algorithm_Code_Notebook/04_Simulation.md,LINKED_LAYER,Notebook 89/89 Coverage ID; lớp luyện sâu chỉ mở qua Navigator
PCCP_Algorithm_Code_Notebook/05_Sorting.md,LINKED_LAYER,Notebook 89/89 Coverage ID; lớp luyện sâu chỉ mở qua Navigator
PCCP_Algorithm_Code_Notebook/06_Two_Pointers.md,LINKED_LAYER,Notebook 89/89 Coverage ID; lớp luyện sâu chỉ mở qua Navigator
