family_id,family_name,priority,provenance,official_problem_ids,existing_lessons,representative_core_lesson,variants,debug_traps,status,tests
F01,"Contract-first parsing & normalization",P0,OBSERVED,"B-Q1;B-Q4",PT-F01-TIME-NORMALIZATION,PT-F01-TIME-NORMALIZATION,"mm:ss→hh:mm:ss;closed→half-open interval","parse repeatedly;wrong endpoint;format too early",COMPLETE,"lessons.test.ts;coverage.test.ts"
F02,"Linear scan string chunk & run",P0,OBSERVED,M1Q1,PT-F02-RUN-SCAN,PT-F02-RUN-SCAN,"count runs;compress runs;final flush","miss final run;count frequency instead of blocks",COMPLETE,"lessons.test.ts;coverage.test.ts"
F03,"Matrix/grid & coordinate representation",P0,OBSERVED,"M2Q1;A-Q2;A-Q4;B-Q3",PT-F03-GRID-NEIGHBORS,PT-F03-GRID-NEIGHBORS,"rectangular grid;direction transform;validate path","rows used as cols;read before bounds;partial commit",COMPLETE,"lessons.test.ts;coverage.test.ts"
F04,"Map/Set counting grouping & lookup",P0,OBSERVED,"M1Q1;A-Q2;B-Q3",PT-F04-FREQUENCY-MULTISET,PT-F04-FREQUENCY-MULTISET,"frequency→Set dedupe;grouping buckets;inverse first-index lookup","Set loses multiplicity;forget delete zero;overwrite first index",COMPLETE,"lessons.test.ts;evaluate.test.ts;coverage.test.ts"
F05,"Sorting & comparator contract",P0,OBSERVED,M1Q1,PT-F05-MULTIKEY-SORT,PT-F05-MULTIKEY-SORT,"descending/ascending keys;normalization;concatenation comparator","boolean comparator;missing tie-break;mutate input",COMPLETE,"lessons.test.ts;evaluate.test.ts;coverage.test.ts"
F06,"Atomic simulation & state machine",P0,OBSERVED,"M2Q1;A-Q1;B-Q1",PT-F06-ATOMIC-ROBOT,PT-F06-ATOMIC-ROBOT,"R/L/G/B commands;bounded validate-commit;inventory transaction","negative modulo;backward sign;commit before validate;wrong command order",COMPLETE,"lessons.test.ts;evaluate.test.ts;coverage.test.ts"
F07,"Timeline/event/queue simulation",P0,OBSERVED,"M2Q3;A-Q1;B-Q3",PT-F07-COLLISION-TIMELINE,PT-F07-COLLISION-TIMELINE,"same-time collision batch;half-open arrival/departure;FIFO server timeline","count pairs not cells;finished agent stays;wrong same-time order",COMPLETE,"lessons.test.ts;evaluate.test.ts;coverage.test.ts"
F08,"Stack & monotonic stack",P1,"CORE official syllabus/repo",,,PT-F08-NEXT-GREATER,"matching;reduction;strictness/output knobs","wrong strictness;forget final flush;store value not index",PLANNED,
F09,"Queue/deque mechanics",P0,CORE,OF009,PT-F09-QUEUE-HEAD,PT-F09-QUEUE-HEAD,"head-index FIFO;re-enqueue metadata;release batches;deque both ends","lost identity;drop re-enqueue;Array.shift on large input",COMPLETE,"lessons.test.ts;evaluate.test.ts;coverage.test.ts"
F10,"Two pointers sliding window & prefix sums",P1,"CORE/TRANSFER",,,PT-F10-VARIABLE-WINDOW,"fixed/variable window;frequency Map;prefix sum","wrong shrink order;zero counts;inclusive mismatch",PLANNED,
